model,temp,temp lower 95th,temp upper 95th,bd,bd lower 95th,bd upper 95th,qbo,qbo lower 95th,qbo upper 95th,r2,adjusted r2
CCSRNIES,0.04907615245406546,0.03030350723845626,0.06784879766967465,-0.9733258390662559,-1.702645785503308,-0.2440058926292039,0.014744298842871694,0.003557797491816469,0.02593080019392692,0.4712895975150437,0.4563783707065602
CCSRNIES-MIROC3.2,0.3535406401720438,0.30867924037091277,0.3984020399731748,-4.351731449502603,-5.120794938100585,-3.582667960904621,0.0054407659180045285,0.0035264153370665294,0.007355116498942528,0.8133927109235561,0.8088866842985044
CMAM,0.2665545314571096,0.2425925225645384,0.29051654034968083,-5.26286623265845,-6.1161933939110265,-4.409539071405873,-0.0025057594979938924,-0.015402877824063582,0.010391358828075797,0.8916660953527092,0.8884453229582568
CMAM_CCMI,0.2183250493477161,0.19655527514700405,0.24009482354842815,-5.256563349836473,-6.1357279246013015,-4.377398775071645,0.005640828712827252,-0.00641150502859979,0.017693162454254292,0.8780724679246535,0.8740284048107797
CNRM-CM5-3,0.5144982107747267,0.4583043542227247,0.5706920673267286,-0.1605695485324103,-1.104870442463714,0.7837313453988934,-0.032817165143558404,-0.043363509801136194,-0.022270820485980614,0.8329296783907248,0.8292741631693928
GEOSCCM,0.3167581271108622,0.272107444331256,0.3614088098904684,-6.489667263978153,-7.289647172329308,-5.689687355626998,-0.015420239425483234,-0.029303281139195503,-0.0015371977117709656,0.7822666980211355,0.7777482611107853
GEOSCCM_CCMI,0.29835211631562375,0.21464325071065324,0.38206098192059423,-7.681368030719766,-8.732620419997346,-6.630115641442186,-0.0018980863596398602,-0.005152481459044629,0.0013563087397649087,0.71872329587458,0.7115503162271606
LMDZrepro,0.5879999564507762,0.5207103323911714,0.655289580510381,-3.807688799222152,-5.54632749879955,-2.0690500996447545,-0.004847383623613012,-0.03984235885289616,0.030147591605670133,0.8386932448863876,0.8366950314239538
MRI,0.5146929877355979,0.44431360612523396,0.5850723693459619,-11.019172942390073,-12.231707388159007,-9.806638496621138,0.0021098088463593584,-0.0035241221419051168,0.007743739834623833,0.8226014186569052,0.8185210049397229
MRI-ESM1r1,0.3955683855078732,0.3098117241527124,0.481325046863034,-6.389962005522812,-7.491626004879425,-5.288298006166199,-0.004431919956905051,-0.010095105674590803,0.001231265760780701,0.5920940209496427,0.5832663404506799
NIWA-UKCA,0.28649951359414044,0.19691311285487745,0.37608591433340344,-4.735998262633332,-5.81598708847548,-3.6560094367911846,0.0008951698533924963,-0.0036902001653983485,0.005480539872183341,0.45632778227349663,0.4478785948767734
WACCM,0.24951968360539845,0.19979927975512302,0.2992400874556739,-3.344425599504204,-4.272237102859322,-2.4166140961490865,0.010877779812331949,-0.015863663105708987,0.03761922273037288,0.575762909972421,0.5661069812367903
